City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
515,Casambalangan,PH,82.22,overcast clouds,18.3765,122.1274,Villa Saturnina
517,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
518,Coronel Bogado,PY,79.29,clear sky,-27.1833,-56.3,Ganaderia ATASA
519,Mattru,SL,83.16,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
524,Labuhan,ID,82.13,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
525,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
532,Ajdabiya,LY,75.65,broken clouds,30.7554,20.2263,Almadina Hotel
533,El Tocuyo,VE,86.79,scattered clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
535,Peniche,PT,85.48,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
545,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
550,Pandan,PH,79.66,overcast clouds,14.0453,124.1694,Bonifacio Lodge
552,Malanje,AO,89.76,overcast clouds,-9.5402,16.341,Malanje Hotel
555,Veraval,IN,85.26,broken clouds,20.9,70.3667,Lords Inn Somnath
556,Muros,ES,82.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
561,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
566,Mwinilunga,ZM,87.69,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
568,Itarema,BR,88.86,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
571,Vasai,IN,82.49,light rain,19.47,72.8,Go Firne
574,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
576,Madhubani,IN,81.12,clear sky,26.3667,86.0833,Hotel Raj Vilas
579,Acapulco,MX,82.29,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
580,Honiara,SB,76.98,broken clouds,-9.4333,159.95,Heritage Park Hotel
581,Santa Marta,CO,88.34,scattered clouds,11.2408,-74.199,Casa de Isabella
582,Lae,PG,76.64,light rain,-6.7221,146.9847,Phils Hotel
583,Ottappalam,IN,76.05,overcast clouds,10.7667,76.3833,Builda Park inn
587,Dharur,IN,75.16,few clouds,18.8167,76.1167,Hotel Rajmahal
592,Monywa,MM,83.73,few clouds,22.1167,95.1333,Monywa Hotel
593,Magan,ES,78.51,scattered clouds,39.9683,-3.931,Hotel Pattaya
597,Turbat,PK,82.96,clear sky,26.0023,63.044,Mubashar Quarters
601,Axim,GH,82.13,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
606,Kutum,SD,88.34,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
607,Soteapan,MX,79.23,clear sky,18.2333,-94.8667,puente jose maria morelos
608,Resistencia,AR,85.08,light rain,-27.4606,-58.9839,Niyat Urban Hotel
610,San Vicente,AR,79.32,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
611,Koubia,GN,81.54,light rain,11.5833,-11.9,Hôtel Mbalou Koubia
612,Wewak,PG,81.05,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
615,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
618,Saint-Georges,GD,85.23,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
624,Morgan City,US,85.03,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
627,Zhuhai,CN,77.72,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
628,Atambua,ID,75.29,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
634,Tres Picos,MX,85.75,clear sky,15.8667,-93.5333,Tres picos Chiapas
637,Tezu,IN,77.99,clear sky,27.9167,96.1667,Circuit House
639,Majene,ID,80.53,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
640,Naze,JP,77.0,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
643,Vanimo,PG,79.61,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
647,Buala,SB,79.79,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
649,Samarai,PG,79.23,broken clouds,-10.6167,150.6667,Nuli Sapi
652,Bontang,ID,78.28,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
653,Sayla,IN,86.5,broken clouds,22.55,71.4667,Bell Guest House
660,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
