City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Nome,US,2021-10-06 19:42:42,64.5011,-165.4064,41.07,87,90,16.11
251,Clyde River,CA,2021-10-06 19:46:11,70.4692,-68.5914,34.03,100,90,5.75
252,Kaitangata,NZ,2021-10-06 19:46:11,-46.2817,169.8464,51.13,88,100,1.81
253,Paracuru,BR,2021-10-06 19:46:12,-3.41,-39.0306,84.22,75,100,15.08
254,Pitimbu,BR,2021-10-06 19:41:30,-7.4706,-34.8086,82.99,77,87,13.96
255,Lebowakgomo,ZA,2021-10-06 19:46:12,-24.2,29.5,67.1,58,89,8.1
256,Mehamn,NO,2021-10-06 19:46:13,71.0357,27.8492,44.78,81,40,5.75
257,Olavarria,AR,2021-10-06 19:41:45,-36.8927,-60.3225,56.01,49,5,13.78
258,Beaupre,CA,2021-10-06 19:46:13,47.0443,-70.8953,71.6,59,23,3.44
259,Taoudenni,ML,2021-10-06 19:46:14,22.6783,-3.9836,96.53,7,5,11.07
260,Saint-Augustin,CA,2021-10-06 19:46:14,51.226,-58.6502,57.58,33,21,15.9
261,Severo-Kurilsk,RU,2021-10-06 19:46:14,50.6789,156.125,42.98,76,66,10.42
262,Piacabucu,BR,2021-10-06 19:46:15,-10.4056,-36.4344,78.1,72,15,8.97
263,Visnes,NO,2021-10-06 19:41:54,59.3556,5.2242,55.58,88,75,12.66
264,Dzaoudzi,YT,2021-10-06 19:46:15,-12.7887,45.2699,78.69,78,0,4.61
265,Fortuna Foothills,US,2021-10-06 19:46:16,32.6578,-114.4119,90.21,40,1,1.99
266,Temerloh,MY,2021-10-06 19:46:16,3.4483,102.4176,74.41,90,78,1.72
267,Auki,SB,2021-10-06 19:46:17,-8.7676,160.7034,79.11,82,89,3.53
268,Pallasovka,RU,2021-10-06 19:46:17,50.05,46.8833,40.42,55,76,7.05
269,Tessalit,ML,2021-10-06 19:46:18,20.1986,1.0114,91.76,9,77,7.45
270,Shelburne,CA,2021-10-06 19:32:42,44.0787,-80.2041,68.13,70,98,4.32
271,Ahipara,NZ,2021-10-06 19:46:19,-35.1667,173.1667,59.56,94,100,4.99
272,Tabory,RU,2021-10-06 19:46:19,58.5198,64.5495,36.07,89,12,5.17
273,Prince Rupert,CA,2021-10-06 19:46:19,54.3161,-130.3201,48.29,78,1,6.91
274,Plainfield,US,2021-10-06 19:44:39,40.6168,-74.4173,71.29,78,90,0.0
275,Tarazona,ES,2021-10-06 19:46:20,41.9,-1.7333,58.53,55,17,9.28
276,Chokurdakh,RU,2021-10-06 19:46:20,70.6333,147.9167,19.71,91,100,10.09
277,Tupiza,BO,2021-10-06 19:46:21,-21.45,-65.7167,70.38,24,100,12.75
278,Amapa,BR,2021-10-06 19:46:21,1.0,-52.0,81.07,67,100,7.11
279,Leningradskiy,RU,2021-10-06 19:46:21,69.3833,178.4167,27.99,98,100,6.26
280,Anadyr,RU,2021-10-06 19:46:22,64.75,177.4833,32.5,100,40,11.01
281,Maniitsoq,GL,2021-10-06 19:46:22,65.4167,-52.9,37.53,77,100,8.79
282,Lagoa,PT,2021-10-06 19:46:23,39.05,-27.9833,70.88,88,3,12.8
283,Usinsk,RU,2021-10-06 19:46:23,65.9939,57.5281,44.17,90,100,16.13
284,Poronaysk,RU,2021-10-06 19:46:23,49.2167,143.1167,35.85,79,0,3.62
285,George,ZA,2021-10-06 19:46:24,-33.963,22.4617,58.55,94,75,5.75
286,Mitsamiouli,KM,2021-10-06 19:46:24,-11.3847,43.2844,75.79,84,81,2.62
287,Mahebourg,MU,2021-10-06 19:43:00,-20.4081,57.7,69.26,94,75,4.61
288,Great Bend,US,2021-10-06 19:46:25,38.3645,-98.7648,79.84,48,1,3.0
289,Barkhan,PK,2021-10-06 19:46:25,29.8977,69.5256,76.91,43,0,3.67
290,Minot,US,2021-10-06 19:44:27,48.2325,-101.2963,88.02,19,1,13.0
291,Villaviciosa,ES,2021-10-06 19:46:25,43.4813,-5.4357,63.97,89,34,6.15
292,Lerwick,GB,2021-10-06 19:46:26,60.1545,-1.1494,41.0,78,34,3.69
293,Caucaia,BR,2021-10-06 19:42:30,-3.7361,-38.6531,84.15,76,20,13.8
