City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
145,Trinidad,-14.8333,-64.9,94.73,38,97,3.09,BO,overcast clouds
146,Iqaluit,63.7506,-68.5145,33.53,100,90,8.99,CA,light intensity drizzle
147,Tyret Pervaya,53.6703,102.3106,30.58,95,100,3.27,RU,overcast clouds
148,Clyde River,70.4692,-68.5914,32.07,79,67,0.89,CA,broken clouds
149,Qostanay,53.1667,63.5833,48.09,63,100,5.59,KZ,overcast clouds
150,Arraial Do Cabo,-22.9661,-42.0278,69.66,83,75,10.36,BR,mist
151,Sisimiut,66.9395,-53.6735,35.15,72,100,5.28,GL,overcast clouds
152,Dalvik,65.9702,-18.5286,39.38,79,100,4.21,IS,overcast clouds
153,Bani,18.2833,-70.3333,81.86,69,99,5.26,DO,overcast clouds
154,Tete,-16.1564,33.5867,88.14,21,0,9.42,MZ,clear sky
155,Necochea,-38.5473,-58.7368,65.03,78,59,10.6,AR,broken clouds
156,Lebu,-37.6167,-73.65,56.57,75,19,5.46,CL,few clouds
157,Upernavik,72.7868,-56.1549,34.47,98,100,19.37,GL,light rain
158,Neiafu,-18.65,-173.9833,73.69,62,3,12.01,TO,clear sky
159,Zhigansk,66.7697,123.3711,16.61,94,100,6.73,RU,overcast clouds
160,Klaksvik,62.2266,-6.589,43.72,64,100,4.79,FO,overcast clouds
161,Sao Filipe,14.8961,-24.4956,80.47,71,5,5.82,CV,clear sky
162,Esperance,-33.8667,121.9,55.58,68,100,25.43,AU,overcast clouds
163,Almaznyy,48.0448,40.045,55.54,65,89,8.05,RU,overcast clouds
164,Champerico,14.3,-91.9167,93.76,79,80,2.98,GT,broken clouds
165,Florenville,49.6998,5.3074,51.87,77,87,10.07,BE,light rain
166,Havre-Saint-Pierre,50.2334,-63.5986,57.67,82,98,6.71,CA,overcast clouds
167,Provideniya,64.3833,-173.3,29.64,89,100,9.78,RU,overcast clouds
168,Bethel,41.3712,-73.414,68.2,81,1,1.01,US,clear sky
169,Caraguatatuba,-23.6338,-45.4899,73.74,81,90,5.7,BR,overcast clouds
170,Viseu,40.661,-7.9097,78.31,28,0,6.71,PT,clear sky
171,Cabo San Lucas,22.8909,-109.9124,80.91,89,40,8.05,MX,scattered clouds
172,Beloha,-25.1667,45.05,70.21,61,0,15.43,MG,clear sky
173,Dali,25.7,100.1833,64.13,83,75,3.42,CN,broken clouds
174,Rawson,-43.3002,-65.1023,68.97,35,100,14.54,AR,overcast clouds
175,Iesolo,45.5331,12.6448,64.09,66,100,4.36,IT,overcast clouds
176,Huarmey,-10.0681,-78.1522,66.49,80,87,8.41,PE,overcast clouds
177,Korla,41.7597,86.1469,55.74,31,73,6.82,CN,broken clouds
178,Samana,19.2056,-69.3369,79.52,80,100,5.41,DO,overcast clouds
179,Coihaique,-45.5752,-72.0662,54.21,50,40,4.61,CL,scattered clouds
180,Tazovskiy,67.4667,78.7,25.41,75,19,7.81,RU,few clouds
181,Ofaqim,31.3141,34.6203,79.74,50,49,12.06,IL,scattered clouds
182,Kiunga,-6.1219,141.2906,74.57,96,80,2.21,PG,broken clouds
183,Limenaria,40.6261,24.5786,60.66,90,100,13.94,GR,light rain
184,Butaritari,3.0707,172.7902,80.83,70,87,9.01,KI,overcast clouds
185,Sitka,57.0531,-135.33,46.29,71,90,12.66,US,light rain
186,Airai,-8.9266,125.4092,62.15,88,100,1.39,TL,overcast clouds
187,Sibolga,1.7427,98.7792,77.81,87,89,1.54,ID,overcast clouds
188,Pitimbu,-7.4706,-34.8086,86.59,60,78,12.12,BR,broken clouds
189,Puerto Quijarro,-17.7833,-57.7667,97.86,39,74,2.8,BO,broken clouds
190,Mount Gambier,-37.8333,140.7667,50.25,74,25,10.4,AU,scattered clouds
191,Viesca,25.35,-102.8,80.96,43,55,5.37,MX,broken clouds
192,Lensk,60.7253,114.9278,23.49,71,4,7.65,RU,clear sky
193,Rocha,-34.4833,-54.3333,71.06,71,93,4.52,UY,overcast clouds
194,Palu,-0.8917,119.8707,78.37,97,93,1.28,ID,overcast clouds
195,Tateyama,34.9833,139.8667,69.73,83,75,5.75,JP,broken clouds
196,Bara,10.3744,10.7288,93.52,29,97,0.49,NG,overcast clouds
197,Basay,9.4087,122.64,81.25,83,100,7.58,PH,overcast clouds
198,Tessalit,20.1986,1.0114,99.79,6,98,13.51,ML,overcast clouds
199,Lata,40.1629,-8.3327,84.34,40,0,4.97,PT,clear sky
200,Xingcheng,40.6167,120.7167,54.88,57,0,2.86,CN,clear sky
201,Bon Accord,53.8335,-113.4187,29.82,81,10,8.7,CA,clear sky
202,Carutapera,-1.195,-46.02,89.91,53,7,10.67,BR,clear sky
203,Waw,7.7029,27.9953,81.61,71,100,8.99,SS,light rain
204,Kendari,-3.945,122.4989,76.59,91,20,1.61,ID,few clouds
205,Vaitape,-16.5167,-151.75,80.44,75,82,12.77,PF,light rain
206,Gat,31.61,34.7642,88.39,54,61,11.56,IL,broken clouds
207,Narsaq,60.9167,-46.05,43.02,51,15,2.73,GL,few clouds
208,Rio Grande,-32.035,-52.0986,71.94,80,58,6.64,BR,broken clouds
209,Marsabit,2.3284,37.9899,78.1,31,100,17.96,KE,overcast clouds
210,Longyearbyen,78.2186,15.6401,28.24,74,75,13.8,SJ,light snow
211,Saskylakh,71.9167,114.0833,15.8,98,100,4.99,RU,overcast clouds
212,Bengkulu,-3.8004,102.2655,76.14,91,84,3.06,ID,broken clouds
213,Atar,20.5169,-13.0499,102.54,10,100,9.17,MR,overcast clouds
214,San Cristobal,7.7669,-72.225,80.78,58,80,7.23,VE,broken clouds
215,Moose Jaw,50.4001,-105.5344,30.29,75,78,6.6,CA,broken clouds
216,Sorland,67.667,12.6934,41.07,68,100,19.24,NO,overcast clouds
217,San Luis,-33.295,-66.3356,77.67,35,85,12.75,AR,overcast clouds
218,Ipixuna,-1.7625,-48.8043,87.75,45,8,4.65,BR,clear sky
219,Shiyan,32.6475,110.7781,60.4,75,0,0.87,CN,light rain
220,Charters Towers,-20.1,146.2667,72.45,64,9,4.59,AU,clear sky
221,Nome,64.5011,-165.4064,33.87,86,75,6.91,US,broken clouds
222,Slave Lake,55.2834,-114.769,30.47,78,23,10.51,CA,few clouds
223,Husavik,66.0449,-17.3389,38.34,66,100,6.08,IS,moderate rain
224,Mongo,12.1844,18.693,102.27,14,62,6.93,TD,broken clouds
225,Santa Maria,-29.6842,-53.8069,74.5,73,75,4.61,BR,broken clouds
226,Medveda,56.5081,92.4078,26.53,53,100,3.18,RU,overcast clouds
227,Ouesso,1.6136,16.0517,82.99,66,70,2.75,CG,broken clouds
228,Ancud,-41.8697,-73.8203,54.66,75,3,4.68,CL,clear sky
229,Faanui,-16.4833,-151.75,80.38,75,82,12.68,PF,light rain
230,Arlit,18.7369,7.3853,100.96,5,38,5.21,NE,scattered clouds
231,Sunndalsora,62.6754,8.5515,45.25,91,100,4.36,NO,overcast clouds
232,Nadym,65.5333,72.5167,29.39,68,100,12.84,RU,overcast clouds
233,Soledad,10.9184,-74.7646,89.73,66,40,5.75,CO,scattered clouds
234,Saint-Philippe,-21.3585,55.7679,74.79,89,64,4.21,RE,light rain
235,North Las Vegas,36.1989,-115.1175,54.72,47,75,18.41,US,dust
236,Tambovka,50.0969,128.0489,46.2,70,92,11.07,RU,overcast clouds
237,Ponta Do Sol,32.6667,-17.1,76.12,65,32,4.85,PT,scattered clouds
238,Mimongo,-1.6195,11.6068,74.8,92,99,0.96,GA,overcast clouds
239,Ambilobe,-13.2,49.05,77.61,70,57,3.44,MG,broken clouds
240,Auki,-8.7676,160.7034,76.24,89,97,4.41,SB,overcast clouds
241,Udachnyy,66.4167,112.4,15.94,93,100,21.94,RU,light snow
242,Broome,42.2506,-75.833,67.91,71,90,1.99,US,overcast clouds
243,Winnemucca,40.973,-117.7357,33.12,59,1,10.36,US,clear sky
244,Spokane,47.6166,-117.3677,34.25,77,1,0.0,US,clear sky
245,Fort Nelson,58.8053,-122.7002,29.79,93,90,4.61,CA,overcast clouds
246,College,64.8569,-147.8028,30.15,85,75,4.61,US,broken clouds
247,Mar Del Plata,-38.0023,-57.5575,62.62,31,90,10.0,AR,overcast clouds
248,Te Anau,-45.4167,167.7167,37.58,97,97,4.5,NZ,overcast clouds
249,Shuyskoye,59.3736,41.0305,43.18,76,96,5.28,RU,light rain
250,Vardo,70.3705,31.1107,41.2,87,75,6.91,NO,broken clouds
251,Goderich,43.7501,-81.7165,67.21,81,78,20.67,CA,broken clouds
252,Severnoye,56.3491,78.3619,27.48,93,76,6.42,RU,broken clouds
253,Phonhong,18.5007,102.4166,74.86,96,59,1.61,LA,broken clouds
254,Tebingtinggi,3.3285,99.1625,80.65,93,96,2.93,ID,overcast clouds
255,Jiayuguan,39.8167,98.3,46.26,24,13,6.26,CN,few clouds
256,Villa Guerrero,18.8667,-99.65,67.62,74,0,2.28,MX,clear sky
257,Victoria,22.2855,114.1577,77.97,81,100,10.0,HK,light rain
258,Yaan,7.3833,8.5667,88.97,58,99,4.97,NG,overcast clouds
259,Port Blair,11.6667,92.75,81.32,84,100,16.8,IN,overcast clouds
260,Calabozo,8.9242,-67.4293,88.14,56,25,6.33,VE,scattered clouds
261,Raudeberg,61.9875,5.1352,45.27,87,100,1.99,NO,overcast clouds
262,Ritchie,-29.038,24.6028,89.6,12,66,8.21,ZA,broken clouds
263,Yar-Sale,66.8333,70.8333,30.06,74,100,14.12,RU,overcast clouds
264,Port Hardy,50.6996,-127.4199,46.58,87,90,19.57,CA,light intensity shower rain
265,Vangaindrano,-23.35,47.6,67.26,69,70,5.28,MG,broken clouds
266,Brasileia,-11.0161,-68.7481,100.08,32,80,2.48,BR,broken clouds
267,Ornes,66.8689,13.7078,43.84,87,100,12.06,NO,light rain
268,Fredericksburg,38.3032,-77.4605,69.75,83,90,0.0,US,overcast clouds
269,Mount Isa,-20.7333,139.5,71.37,78,27,0.0,AU,light rain
270,Pangody,65.85,74.4859,26.56,76,97,9.89,RU,overcast clouds
271,Ushtobe,45.2514,77.9838,42.69,63,61,3.18,KZ,broken clouds
272,Muhos,64.808,25.9931,44.38,92,99,4.97,FI,overcast clouds
273,Kaura Namoda,12.5898,6.5779,98.64,12,84,5.39,NG,broken clouds
274,Coquimbo,-29.9533,-71.3436,56.93,67,90,9.22,CL,overcast clouds
275,San Patricio,28.017,-97.5169,86.09,64,65,18.23,US,broken clouds
276,Wuhan,30.5833,114.2667,66.47,55,2,9.73,CN,light rain
277,Lavrentiya,65.5833,-171.0,28.99,88,100,12.48,RU,overcast clouds
278,Alice Springs,-23.7,133.8833,63.95,42,0,0.0,AU,clear sky
279,Huari,-9.3333,-77.2333,53.76,45,36,6.31,PE,scattered clouds
280,Vanavara,60.34,102.2797,21.99,56,26,2.59,RU,scattered clouds
281,Guiratinga,-16.3494,-53.7583,89.8,48,73,3.96,BR,broken clouds
282,Bulgan,48.8125,103.5347,38.3,57,3,4.85,MN,clear sky
283,Neyshabur,36.2133,58.7958,58.21,13,0,5.82,IR,clear sky
284,Touros,-5.1989,-35.4608,88.7,54,36,16.2,BR,scattered clouds
285,San Quintin,30.4833,-115.95,62.24,52,0,10.02,MX,clear sky
286,San Nicolas,18.1725,120.5953,79.95,78,100,4.32,PH,overcast clouds
287,Severo-Kurilsk,50.6789,156.125,44.15,74,17,26.31,RU,few clouds
288,Namatanai,-3.6667,152.4333,80.42,78,47,7.99,PG,scattered clouds
289,Kizema,61.113,44.8302,42.66,79,92,7.11,RU,overcast clouds
290,San Rafael,-34.6177,-68.3301,73.42,33,100,4.76,AR,overcast clouds
291,Kenai,60.5544,-151.2583,36.09,93,1,5.75,US,clear sky
292,Mehriz,31.5917,54.4318,68.5,14,0,3.49,IR,clear sky
293,Mathbaria,22.2876,89.9593,81.73,76,100,5.7,BD,overcast clouds
294,Jalu,29.0331,21.5482,86.05,28,67,10.67,LY,broken clouds
295,Izumo,35.3667,132.7667,67.62,95,100,8.77,JP,overcast clouds
296,Imeni Poliny Osipenko,52.4201,136.4853,43.05,75,100,5.46,RU,overcast clouds
297,Jinchang,38.4953,102.1739,49.91,24,23,3.91,CN,few clouds
298,Tuatapere,-46.1333,167.6833,41.61,84,100,8.12,NZ,overcast clouds
299,Tulun,54.5611,100.5792,30.04,88,100,4.29,RU,overcast clouds
300,Ambon,-3.6954,128.1814,78.94,89,20,8.05,ID,few clouds
301,Henties Bay,-22.116,14.2845,64.74,77,23,7.4,NA,few clouds
302,Hamilton,39.1834,-84.5333,73.76,77,75,1.99,US,broken clouds
303,Koupela,12.1794,-0.3517,99.12,24,72,2.15,BF,broken clouds
304,Dalbandin,28.8947,64.4101,69.28,9,0,6.38,PK,clear sky
305,Mbour,14.422,-16.9638,90.45,49,100,11.83,SN,overcast clouds
306,Mahebourg,-20.4081,57.7,76.24,79,10,5.39,MU,clear sky
307,Bagdarin,54.4333,113.6,35.53,99,100,2.68,RU,overcast clouds
308,Cairns,-16.9167,145.7667,72.07,92,11,2.3,AU,few clouds
309,Aksu,41.1231,80.2644,53.42,27,0,7.61,CN,clear sky
310,Port Moresby,-9.4431,147.1797,75.94,91,75,3.47,PG,light rain
311,Lima,-12.0432,-77.0282,62.91,82,77,7.78,PE,broken clouds
312,Coahuayana,18.7333,-103.6833,85.48,76,74,2.08,MX,broken clouds
313,Coari,-4.085,-63.1414,86.74,63,100,1.34,BR,overcast clouds
314,Asau,46.4333,26.4,49.28,80,100,3.31,RO,overcast clouds
315,Quelimane,-17.8786,36.8883,76.95,53,20,9.22,MZ,few clouds
316,Maracacume,-2.0428,-45.9592,96.98,36,26,5.14,BR,scattered clouds
317,Grand Gaube,-20.0064,57.6608,76.37,80,1,3.0,MU,clear sky
318,Woodend,-43.3167,172.6667,46.62,62,100,5.99,NZ,moderate rain
319,Kavaratti,10.5669,72.642,82.06,79,100,21.41,IN,overcast clouds
320,Dzilam Gonzalez,21.2833,-88.9333,86.2,60,15,5.01,MX,few clouds
321,Biak,-0.9131,122.8766,77.52,80,74,3.76,ID,broken clouds
322,Ostersund,63.1792,14.6357,42.62,70,40,16.11,SE,scattered clouds
323,El Reno,35.5323,-97.955,71.33,64,90,17.27,US,haze
324,Nanyamba,-10.6833,39.8333,79.25,56,85,11.45,TZ,overcast clouds
325,Mogadishu,2.0371,45.3438,78.57,81,100,15.82,SO,overcast clouds
